id,kanji,kana,mean,tag,example,ex_mean
v1,"曖昧","あいまい","模糊，不明确","抽象","彼の返事は曖昧で、本心がよく分からなかった。","他的回答很含糊，让人不清楚真实想法。"
v2,"煽る","あおる","煽动，刺激","动词","不安を煽るような情報ばかりが拡散された。","净是一些煽动不安的信息被扩散开来。"
v3,"圧倒的","あっとうてき","压倒性的","形容动词","彼女の実力は圧倒的で、誰も追いつけなかった。","她的实力具有压倒性，没人能赶上。"
v4,"斡旋","あっせん","斡旋，介绍，调解","名词","就職先を斡旋してもらい、無事に働き始めた。","在对方的介绍下找到了工作并顺利开始上班。"
v5,"依存","いぞん","依赖","名词","特定の技術に依存しすぎるのは危険だ。","过度依赖某项技术是有风险的。"
v6,"異論","いろん","异议，不同意见","名词","その案に異論を唱える人は少なくなかった。","对那个方案提出异议的人并不少。"
v7,"委託","いたく","委托","名词","配送業務の一部を外部会社に委託した。","将配送业务的一部分委托给了外部公司。"
v8,"営む","いとなむ","经营，从事","动词","祖父は小さな旅館を営んでいた。","祖父以前经营着一家小旅馆。"
v9,"一概に","いちがいに","一概而论地","副词","地域差があるので、一概に比較はできない。","因为存在地区差异，不能一概比较。"
v10,"一層","いっそう","更加，越发","副词","説明を聞いて、問題の深刻さを一層感じた。","听完说明后，更加感受到问题的严重性。"
v11,"逸脱","いつだつ","偏离，脱离","名词","議論が本題から逸脱しないように注意してください。","请注意不要让讨论偏离主题。"
v12,"意図","いと","意图，用意","名词","発言の意図を正しく理解する必要がある。","有必要正确理解这番发言的意图。"
v13,"閲覧","えつらん","阅览","名词","資料は館内でのみ閲覧可能です。","资料仅可在馆内阅览。"
v14,"円滑","えんかつ","顺利，圆滑","形容动词","会議を円滑に進めるには準備が重要だ。","要让会议顺利进行，事前准备很重要。"
v15,"応急","おうきゅう","应急","名词","応急処置を受けてから病院へ運ばれた。","接受应急处理后被送往医院。"
v16,"大幅","おおはば","大幅度","名词","原材料の高騰で価格が大幅に上がった。","由于原材料上涨，价格大幅提高了。"
v17,"概念","がいねん","概念","名词","まず基本的な概念を理解することが大切だ。","首先理解基本概念很重要。"
v18,"介入","かいにゅう","介入","名词","政府が市場に介入する可能性もある。","政府也有可能介入市场。"
v19,"懐疑的","かいぎてき","怀疑的","形容动词","新制度の効果に対して懐疑的な声も多い。","也有很多人对新制度的效果持怀疑态度。"
v20,"改訂","かいてい","修订","名词","教科書の内容が来年度から改訂される。","教材内容从明年起将被修订。"
v21,"画期的","かっきてき","划时代的","形容动词","その発明は医療分野で画期的だと評価された。","那项发明被评价为医疗领域的划时代成果。"
v22,"過程","かてい","过程","名词","結果だけでなく過程も重視すべきだ。","不仅结果，过程也应该被重视。"
v23,"過密","かみつ","过密，过于拥挤","名词","都市部の過密化が社会問題になっている。","城市地区的过密化已成为社会问题。"
v24,"緩和","かんわ","缓和","名词","緊張を緩和するための対話が続けられた。","为了缓和紧张局势，持续进行了对话。"
v25,"規範","きはん","规范，准则","名词","社会規範を学ぶことは共同生活に欠かせない。","学习社会规范对共同生活不可或缺。"
v26,"窮屈","きゅうくつ","拘束，局促，不自在","形容动词","形式ばかり重視すると窮屈な職場になる。","如果只重视形式，职场就会变得很拘束。"
v27,"極端","きょくたん","极端","形容动词","極端な意見に流されないよう注意したい。","希望注意不要被极端意见带偏。"
v28,"均衡","きんこう","均衡，平衡","名词","需要と供給の均衡が崩れている。","供需平衡已经被打破。"
v29,"吟味","ぎんみ","斟酌，仔细审查","名词","条件をよく吟味した上で契約してください。","请仔细审查条件后再签约。"
v30,"駆使","くし","熟练运用，驱使","名词","最新技術を駆使して課題を解決した。","熟练运用最新技术解决了课题。"
v31,"具体","ぐたい","具体","形容动词","提案はもう少し具体に説明したほうがよい。","提案最好再说明得更具体一些。"
v32,"形骸化","けいがいか","形式化，空洞化","名词","ルールが形骸化して実態に合わなくなっている。","规则已经流于形式，和实际情况脱节了。"
v33,"契機","けいき","契机，机会","名词","留学を契機に価値観が大きく変わった。","以留学为契机，价值观发生了很大变化。"
v34,"見解","けんかい","见解，看法","名词","専門家の見解は必ずしも一致していない。","专家们的看法并不一定一致。"
v35,"顕著","けんちょ","显著","形容动词","都市と地方の差が顕著に表れている。","城乡差距表现得很明显。"
v36,"原則","げんそく","原则","名词","この制度は原則として事前申請が必要です。","这个制度原则上需要事前申请。"
v37,"効率","こうりつ","效率","名词","作業効率を上げるために手順を見直した。","为了提高作业效率，重新审视了流程。"
v38,"克服","こくふく","克服","名词","多くの困難を克服して計画を実現した。","克服了许多困难后实现了计划。"
v39,"根拠","こんきょ","根据，依据","名词","その予測には十分な根拠がある。","那个预测有充分的依据。"
v40,"再編","さいへん","重组，重新编排","名词","組織の再編によって役割分担が変わった。","由于组织重组，分工发生了变化。"
v41,"錯覚","さっかく","错觉","名词","時間が止まったような錯覚に陥った。","陷入了仿佛时间停止的错觉。"
v42,"殺到","さっとう","蜂拥而至","名词","発売直後から問い合わせが殺到した。","刚发售后咨询便蜂拥而至。"
v43,"実態","じったい","实际情况，实态","名词","調査によって現場の実態が明らかになった。","通过调查弄清了现场的实际情况。"
v44,"持続","じぞく","持续","名词","持続可能な社会の実現が求められている。","社会正被要求实现可持续发展。"
v45,"執着","しゅうちゃく","执着","名词","過去の失敗に執着しすぎる必要はない。","没有必要过于执着于过去的失败。"
v46,"趣旨","しゅし","宗旨，要点","名词","説明会の趣旨を理解してから質問してください。","请先理解说明会的宗旨再提问。"
v47,"消耗","しょうもう","消耗","名词","長時間の会議で気力を消耗した。","长时间会议消耗了精力。"
v48,"真摯","しんし","真挚，认真","形容动词","苦情に真摯に向き合う姿勢が大切だ。","认真面对投诉的态度很重要。"
v49,"浸透","しんとう","渗透，普及","名词","キャッシュレス決済が社会に浸透してきた。","无现金支付已逐渐普及到社会中。"
v50,"迅速","じんそく","迅速","形容动词","問題が起きたら迅速に共有してください。","出现问题时请迅速共享信息。"
v51,"遂行","すいこう","执行，完成","名词","計画を遂行するには全員の協力が必要だ。","要执行计划，需要所有人的协作。"
v52,"推進","すいしん","推进","名词","改革を推進するための専門部署が設置された。","为了推进改革，设置了专门部门。"
v53,"是正","ぜせい","纠正，改正","名词","格差を是正する政策が議論されている。","纠正差距的政策正在被讨论。"
v54,"切実","せつじつ","迫切","形容动词","地方では医師不足が切実な問題となっている。","在地方地区，医生短缺已成为迫切问题。"
v55,"選定","せんてい","选定","名词","厳しい基準をもとに候補地を選定した。","基于严格标准选定了候选地。"
v56,"総合","そうごう","综合","名词","複数の要素を総合して判断する必要がある。","有必要综合多个要素来判断。"
v57,"妥協","だきょう","妥协","名词","品質については妥協したくない。","在品质方面不想妥协。"
v58,"多角的","たかくてき","多角的，多方面的","形容动词","問題を多角的に分析する視点が求められる。","需要从多角度分析问题的视角。"
v59,"蓄積","ちくせき","积累","名词","長年の研究成果が蓄積されている。","多年的研究成果已经累积下来。"
v60,"致命的","ちめいてき","致命的","形容动词","確認不足が致命的なミスにつながった。","确认不足导致了致命错误。"
v61,"逐一","ちくいち","逐一，逐个","副词","変更点は逐一報告してください。","请将变更点逐一汇报。"
v62,"抽象","ちゅうしょう","抽象","名词","抽象的な説明だけでは伝わりにくい。","光靠抽象的说明不容易传达清楚。"
v63,"中枢","ちゅうすう","中枢，核心","名词","その都市は交通網の中枢を担っている。","那座城市承担着交通网络核心的作用。"
v64,"沈黙","ちんもく","沉默","名词","彼は質問に対してしばらく沈黙した。","他面对提问沉默了一会儿。"
v65,"痛感","つうかん","痛感，深切感受到","名词","準備不足だったことを痛感した。","深切感受到了准备不足。"
v66,"提携","ていけい","合作，携手","名词","地元企業と提携して新商品を開発した。","与本地企业合作开发了新产品。"
v67,"転換","てんかん","转换，转变","名词","発想の転換が突破口になった。","思路转变成了突破口。"
v68,"動向","どうこう","动向，趋势","名词","市場の動向を注視する必要がある。","有必要密切关注市场动向。"
v69,"統制","とうせい","统制，控制","名词","組織全体を統制する仕組みが必要だ。","需要一个统筹整个组织的机制。"
v70,"当面","とうめん","当前，暂时","副词","当面の課題に集中したほうがいい。","最好先集中处理当前课题。"
